NG_NumOfSpecies,NG_NumOfReactions,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,NG_StoichiometricUpdatesMIN,NG_StoichiometricUpdatesMEAN,NG_StoichiometricUpdatesMAX,NG_StoichiometricUpdatesSUM,ModelChecker
14,17,238,2,2.588235294,4,44,2,2.588235294,4,44,PLASMA
14,17,238,2,2.588235294,4,44,2,2.588235294,4,44,PLASMA
22,17,374,2,2.941176471,5,50,2,2.941176471,5,50,PLASMA
17,20,340,2,2,2,40,2,2,2,40,PLASMA
17,17,289,3,3,3,51,3,3,3,51,PLASMA
17,17,289,2,2.411764706,4,41,2,2.411764706,4,41,PLASMA
24,20,480,2,2,2,40,2,2,2,40,PLASMA
26,19,494,2,2,2,38,2,2,2,38,PLASMA
24,20,480,2,2.05,3,41,2,2.05,3,41,PLASMA
23,20,460,2,2,2,40,2,2,2,40,PLASMA
19,20,380,2,2.5,4,50,2,2.5,4,50,PLASMA
18,20,360,2,2.8,3,56,2,2.8,3,56,PLASMA
21,20,420,2,3.15,6,63,2,3.15,6,63,PLASMA
24,20,480,2,2,2,40,2,2,2,40,PLASMA
24,19,456,2,3.210526316,4,61,2,3.210526316,4,61,PLASMA
24,19,456,2,3.210526316,4,61,2,3.210526316,4,61,PLASMA
24,19,456,2,3.210526316,4,61,2,3.210526316,4,61,PLASMA
24,19,456,2,3.210526316,4,61,2,3.210526316,4,61,PLASMA
20,17,340,2,2,2,34,2,2,2,34,PLASMA
19,20,380,2,3,4,60,2,3,4,60,PLASMA
23,22,506,2,2,2,44,2,2,2,44,PLASMA
22,20,440,3,3,3,60,3,3,3,60,PLASMA
26,22,572,2,2.045454545,3,45,2,2.045454545,3,45,PLASMA
19,20,380,2,3.4,4,68,2,3.4,4,68,PLASMA
38,19,722,2,2,2,38,2,2,2,38,MC2
17,23,391,2,2.739130435,5,63,2,2.739130435,5,63,PLASMA
27,22,594,2,2,2,44,2,2,2,44,PLASMA
23,20,460,2,3,4,60,2,3,4,60,PLASMA
24,24,576,2,2.041666667,3,49,2,2.041666667,3,49,PLASMA
20,20,400,3,3.35,4,67,3,3.35,4,67,PLASMA
23,23,529,2,2,2,46,2,2,2,46,PLASMA
27,21,567,2,3.142857143,4,66,2,3.142857143,4,66,PLASMA
40,20,800,2,2,2,40,2,2,2,40,MC2
9,28,252,2,2,2,56,2,2,2,56,PLASMA
29,21,609,2,3.047619048,6,64,2,3.047619048,6,64,PLASMA
22,26,572,2,2,2,52,2,2,2,52,PLASMA
22,22,484,2,2,2,44,2,2,2,44,PLASMA
25,24,600,2,2.75,4,66,2,2.75,4,66,PLASMA
24,25,600,2,2.12,3,53,2,2.12,3,53,PLASMA
29,24,696,2,2,2,48,2,2,2,48,PLASMA
23,25,575,2,2.68,3,67,2,2.68,3,67,PLASMA
24,26,624,2,2.038461538,3,53,2,2.038461538,3,53,PLASMA
27,21,567,2,3.333333333,6,70,2,3.333333333,6,70,PLASMA
27,21,567,2,2.904761905,4,61,2,2.904761905,4,61,PLASMA
31,22,682,2,3.636363636,5,80,2,3.636363636,5,80,PLASMA
27,21,567,2,3.142857143,4,66,2,3.142857143,4,66,PLASMA
17,24,408,3,3,3,72,3,3,3,72,PLASMA
26,26,676,2,2.615384615,4,68,2,2.615384615,4,68,PLASMA
30,25,750,2,2.52,4,63,2,2.52,4,63,PLASMA
24,27,648,2,2.259259259,3,61,2,2.259259259,3,61,PLASMA
22,26,572,2,2.346153846,4,61,2,2.346153846,4,61,PLASMA
27,23,621,2,2.956521739,4,68,2,2.956521739,4,68,PLASMA
