SpeciesG_PD_Vertices,SpeciesG_PD_Edges,SpeciesG_PD_InDegreeMIN,SpeciesG_PD_InDegreeMEAN,SpeciesG_PD_InDegreeMAX,SpeciesG_PD_InDegreeSUM,SpeciesG_PD_OutDegreeMIN,SpeciesG_PD_OutDegreeMEAN,SpeciesG_PD_OutDegreeMAX,SpeciesG_PD_OutDegreeSUM,SpeciesG_PD_TotalDegreeMIN,SpeciesG_PD_TotalDegreeMEAN,SpeciesG_PD_TotalDegreeMAX,SpeciesG_PD_TotalDegreeSUM,SpeciesG_PD_Density,SpeciesG_PD_Reciprocity,SpeciesG_PD_WeakComponents,SpeciesG_PUD_UNDIRECTEDBiconnectedComponents,SpeciesG_PUD_UNDIRECTEDArticulationPoints,ReactionG_PD_Vertices,ReactionG_PD_Edges,ReactionG_PD_InDegreeMIN,ReactionG_PD_InDegreeMEAN,ReactionG_PD_InDegreeMAX,ReactionG_PD_InDegreeSUM,ReactionG_PD_OutDegreeMIN,ReactionG_PD_OutDegreeMEAN,ReactionG_PD_OutDegreeMAX,ReactionG_PD_OutDegreeSUM,ReactionG_PD_TotalDegreeMIN,ReactionG_PD_TotalDegreeMEAN,ReactionG_PD_TotalDegreeMAX,ReactionG_PD_TotalDegreeSUM,ReactionG_PD_Density,ReactionG_PD_Reciprocity,ReactionG_PD_WeakComponents,ReactionG_PUD_UNDIRECTEDBiconnectedComponents,ReactionG_PUD_UNDIRECTEDArticulationPoints,NG_NumOfNONConstantSpecies,NG_Species_X_Reactions,NG_UpdatesMIN,NG_UpdatesMEAN,NG_UpdatesMAX,NG_UpdatesSUM,SSA
46,59,0,1.282608696,3,59,0,1.282608696,3,59,1,2.565217391,6,118,0.027882798,0.203389831,6,2,1,57,218,1,3.824561404,10,218,2,3.824561404,9,218,3,6.614035088,17,377,0.067097568,0.73853211,6,1,0,46,2622,2,2.035087719,3,116,pdm
8,8,1,1,1,8,1,1,1,8,2,2,2,16,0.125,1,4,1,0,8,16,2,2,2,16,2,2,2,16,3,3,3,24,0.25,1,4,1,0,8,64,2,2,2,16,tl
17,34,0,2,4,34,0,2,4,34,2,4,7,68,0.117647059,0,1,1,0,17,81,2,4.764705882,7,81,2,4.764705882,8,81,3,8,13,136,0.280276817,0.716049383,1,1,0,17,289,3,3,3,51,pdm
17,48,0,2.823529412,6,48,0,2.823529412,6,48,4,5.647058824,8,96,0.166089965,0,1,1,0,24,184,4,7.666666667,10,184,2,7.666666667,11,184,5,13.66666667,19,328,0.319444444,0.77173913,1,1,0,17,408,3,3,3,72,pdm
43,36,0,0.837209302,2,36,0,0.837209302,3,36,1,1.674418605,4,72,0.019469984,0,11,2,1,36,81,1,2.25,4,81,1,2.25,5,81,2,3.5,8,126,0.0625,0.691358025,11,1,0,43,1548,2,2,2,72,pdm
17,43,0,2.529411765,7,43,0,2.529411765,6,43,1,4.882352941,8,83,0.148788927,0.534883721,1,6,5,23,145,2,6.304347826,13,145,2,6.304347826,11,145,5,11.08695652,20,255,0.274102079,0.737931034,1,2,1,17,391,2,2.739130435,5,63,pdm
4,6,0,1.5,2,6,0,1.5,3,6,2,3,4,12,0.375,0.333333333,1,1,0,3,9,2,3,5,9,2,3,4,9,3,4.666666667,7,14,1,0.888888889,1,2,1,4,12,3,3,3,9,odm
51,46,0,0.901960784,2,46,0,0.901960784,2,46,1,1.803921569,4,92,0.017685506,0.260869565,13,2,1,46,119,1,2.586956522,4,119,1,2.586956522,4,119,2,4.173913043,7,192,0.056238185,0.722689076,13,1,0,51,2346,2,2,2,92,tl
51,46,0,0.901960784,2,46,0,0.901960784,2,46,1,1.803921569,4,92,0.017685506,0.260869565,13,2,1,46,119,1,2.586956522,4,119,1,2.586956522,4,119,2,4.173913043,7,192,0.056238185,0.722689076,13,1,0,51,2346,2,2,2,92,tl
51,46,0,0.901960784,2,46,0,0.901960784,2,46,1,1.803921569,4,92,0.017685506,0.260869565,13,2,1,46,119,1,2.586956522,4,119,1,2.586956522,4,119,2,4.173913043,7,192,0.056238185,0.722689076,13,1,0,51,2346,2,2,2,92,tl
